idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
4192;4192;60 Rue de l'Egalité;Saint-Priest;;;V101.0.CS;Col Est;COL VEOLIA;2019-01-14;2019-01-17;2019-01-17;;69290;1;4,945958797637606;45,687572847352754
7090;7090;59 Boulevard Lénine;Vénissieux;20253;;V101.0.CS;Col Sud;COL VEOLIA;2019-07-19;2019-07-19;2019-07-19;;69259;25;4,8657239189365615;45,69267071355527
4155;4155;Rue de la Libération a cote de la logette;Chassieu;;;V101.0.CS;Col Est;GPE;2018-08-17;2018-08-24;2021-02-16;2021-02-16;69271;129;4,972876501556985;45,74435075647872
3021;3021;Rue du Bel Air;Villeurbanne;21494;;Z101.0.CS;Col Est;COL EST;2018-01-01;2018-07-09;2018-07-09;2018-07-09;69266;160;4,911055809467303;45,75548312890897
7804;7804;22 Rue Claude Debussy;Vénissieux;20363;Devant le 9 rue Claude Debussy angle côté pair;V101.0.CS;Col Sud;COL VEOLIA;2023-05-23;2023-07-05;2023-07-05;;69259;123;4,8743920811526555;45,69785612477054
E463;E463;14 Rue du Peronnet;Vernaison;20611;;V101.0.CS;Col Sud;COL VEOLIA;2019-05-02;2019-05-27;2021-06-23;2021-06-23;69260;182;4,815628955700803;45,65224208227318
4749;4749;26 Rue Villeroy;Lyon 3e Arrondissement;27972;;Z101.0.CS;Col Est;GPE;2022-07-04;2022-09-05;2024-02-01;2024-02-01;69383;220;4,845171321515688;45,75668554497237
7341;7341;29 Rue des Martyrs de la Résistance;Vénissieux;20388;;V101.0.CS;Col Sud;COL VEOLIA;2018-01-22;2017-03-24;2018-04-24;;69259;244;4,873611598633562;45,69281799861264
E470;E470;3 Rue Roger Fenech;Lyon 9e Arrondissement;36983;;W101.0.CS;Col Nord-Ouest;NICOLLIN;2019-11-08;2019-11-13;2020-08-20;2020-08-20;69389;262;4,792926645147608;45,78362701475698
E773;E773;42 Avenue du Chater;Francheville;07250;;V101.0.CS;Col Sud;COL GUERIN;2022-04-20;2022-05-04;2022-05-12;2022-05-12;69089;267;4,771649258383897;45,74386224095282
E370;E370;58 Chemin des sources ;Écully;;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69081;324;4,787530470769386;45,79017587029041
E240;E240;2 Rue Président Edouard Herriot;Vénissieux;20503;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;338;4,8768557907544245;45,696193576712865
1582;1582;6 Avenue des Arts;Villeurbanne;33788;;Z101.0.CS;Col Est;COL GUERIN;2023-02-13;2023-03-28;2023-03-28;;69266;347;4,87209098303015;45,78374584014555
E176;E176;3A Rue Roger Salengro;Vénissieux;20517;;V101.0.CS;Col Sud;COL VEOLIA;2018-01-29;2018-02-05;2018-04-24;;69259;364;4,865771003664097;45,72437175985278
E800;E800;170 Cours Rouget de Lisle;Rillieux-la-Pape;37215;;V101.0.CS;Col Nord-Ouest;COL GUERIN;2023-10-03;2023-11-02;2023-11-02;;69286;4947;4,907240654599127;45,81484089813855
E319;E319;6 Allée Turba Choux;Caluire-et-Cuire;02758;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-08-09;2018-08-09;69034;445;4,847353359182807;45,79464798943577
E177;E177;3A Rue Roger Salengro;Vénissieux;20517;;V101.0.CS;Col Sud;COL VEOLIA;2018-01-29;2018-02-05;2018-04-24;;69259;447;4,865798001265411;45,724375659468286
E167;E167;2 Allée Jean Moulin;Givors;35170;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-06-22;2018-04-24;;69091;487;4,764674582394373;45,60646936833107
E265;E265;4 Avenue de la Division Leclerc;Vénissieux;20227;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2012-11-19;69259;499;4,866323998170591;45,69909575728475
E231B;E231B;1 Place Ampère;Neuville-sur-Saône;11316;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-26;69143;508;4,838671608074345;45,87653945219625
E731;E731;110-114 Avenue Pierre Brossolette;Bron;;;Z101.0.CS;Col Est;GPE;2019-12-29;2020-05-22;2020-06-17;2020-06-17;69029;60;4,921225468749718;45,73933303346623
7230;7230;36 Chemin des Mouilles;Écully;06723;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2018-01-22;2016-04-28;2021-08-11;2021-08-11;69081;536;4,769228507489086;45,78487267036355
E653;E653;3 Rue Françoise Giroud;Lyon 9e Arrondissement;35646;;W101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-08-30;2017-07-21;2020-08-20;2020-08-20;69389;537;4,793991912887101;45,78493478708508
4005;4005;88 Rue des Jardins;Villeurbanne;;;Z101.0.CS;Col Est;GPE;2020-07-01;2020-09-04;2020-09-04;;69266;104;4,902389961116932;45,77461181662764
1051;1051;17 Rue du 8 Mai 1945;Sathonay-Camp;34564;;V101.0.CS;Col Nord-Ouest;COL GUERIN;2021-11-18;2022-02-15;2022-02-15;;69292;573;4,865523373975969;45,82233788134589
