idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
B1182;B1182;99 Rue Mazenod;Lyon 3e Arrondissement;;VPD20;Y101.0.ALIM;Col Est;GPE;2023-10-18;2023-11-02;;;69383;4854;4,8507121014972405;45,75914804452241
B1262;B1262;187t Avenue Felix Faure;Lyon 3e Arrondissement;;SSD24;Y101.0.ALIM;Col Est;GPE;2023-10-30;2023-11-02;;;69383;4855;4,870620828254898;45,75513491122226
B1137;B1137;4 Rue Servient;Lyon 3e Arrondissement;;MPM3;Y101.0.ALIM;Col Est;GPE;2023-10-16;2023-11-02;;;69383;4857;4,841458999476408;45,75996600049303
B1106;B1106;20 Boulevard des Belges;Lyon 6e Arrondissement;28363;PAD04;Z101.0.ALIM;Col Est;GPE;2023-10-09;2023-10-17;2023-10-31;2023-10-31;69386;4739;4,847188695343372;45,775227175228345
B0513;B0513;31 Avenue Albert Einstein;Villeurbanne;21194;LD1;Z101.0.ALIM;Col Est;GPE;2022-09-01;2022-12-20;2023-10-31;2023-10-31;69266;482;4,885031699999003;45,78392360037449
B1226;B1226;6 Rue Julien Duvivier;Lyon 3e Arrondissement;;VPD36;Y101.0.ALIM;Col Est;GPE;2023-10-23;2023-11-02;;;69383;4858;4,856548211158393;45,75249932079987
B1254;B1254;27 Rue Professeur Paul Sisley;Lyon 3e Arrondissement;;SSD14;Y101.0.ALIM;Col Est;GPE;2023-10-31;2023-11-02;;;69383;4859;4,868519856818224;45,7497154642407
B1279;B1279;123 Rue Antoine Charial;Lyon 3e Arrondissement;;VPB25;Y101.0.ALIM;Col Est;GPE;2023-10-30;2023-11-02;;;69383;4860;4,872262383444084;45,75745282619198
B1154;B1154;106 Rue Pierre Corneille;Lyon 3e Arrondissement;;MPM25;Y101.0.ALIM;Col Est;GPE;2023-10-16;2023-11-02;;;69383;4861;4,844233693876605;45,76139806493489
B1255;B1255;36 Rue du docteur Rebatel;Lyon 3e Arrondissement;;SSD15;Y101.0.ALIM;Col Est;GPE;2023-10-31;2023-11-02;;;69383;4863;4,871960613704577;45,747072586359025
B1245;B1245;13 Rue des Tuiliers;Lyon 3e Arrondissement;;SSD5;Y101.0.ALIM;Col Est;GPE;2023-10-31;2023-11-02;;;69383;4864;4,866061691530406;45,74927892512472
B1242;B1242;4 Rue du Dauphine;Lyon 3e Arrondissement;;SSD1;Y101.0.ALIM;Col Est;GPE;2023-10-31;2023-11-02;;;69383;4871;4,8625523517213205;45,74988820039456
B1190;B1190;196 Rue Duguesclin;Lyon 3e Arrondissement;;VPD33;Y101.0.ALIM;Col Est;GPE;2023-10-17;2023-11-02;;;69383;4874;4,8485621126030685;45,76209999332468
B1271;B1271;9 Rue Saint-Eusebe;Lyon 3e Arrondissement;;VPB1;Y101.0.ALIM;Col Est;GPE;2023-10-30;2023-11-02;;;69383;4875;4,872989137698264;45,756946414629866
B1200;B1200;300 Rue Paul Bert;Lyon 3e Arrondissement;;VPB3;Y101.0.ALIM;Col Est;GPE;2023-10-24;2023-11-02;;;69383;4877;4,872376778531236;45,756140479666
