idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
E740 ;E740 ;124-128 Avenue Pierre Brosselette;Bron;;;Z101.0.OM;Col Est;GPE;2019-12-29;2020-05-22;2020-05-22;;69029;35;4,919584425386949;45,73924146067746
E312;E312;18 Avenue Jean Cagne;Vénissieux;20235;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2015-01-22;69259;45;4,87172686089182;45,69597841613841
E297;E297;26 Avenue Jean Cagne;Vénissieux;20235;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;88;4,872415372275973;45,69553147096111
E760;E760;2 Rue Pierre Sonnerat;Lyon 8e Arrondissement;28901;;Z101.0.OM;Col Sud;COL GUERIN;2021-12-01;2021-12-06;2021-12-06;;69388;99;4,881396030423475;45,73852168754643
E213;E213;16 Rue du Peronnet;Vernaison;20611;;V101.0.OM;Col Sud;COL VEOLIA;2019-05-02;2019-05-27;2021-06-23;2021-06-23;69260;103;4,814740331052019;45,65196161366608
E505;E505;1 Rue Jean Chirat;Albigny-sur-Saône;00125;;V101.0.OM;Col Nord-Ouest;COL GUERIN;2018-01-15;2018-02-20;2019-02-13;2018-02-20;69003;135;4,832169204104459;45,86516411062889
E191;E191;17 Avenue de Gadagne;Saint-Genis-Laval;15620;;V101.0.OM;Col Sud;COL VEOLIA;2019-02-01;2019-01-28;2019-01-28;;69204;255;4,792304395732331;45,70126685426291
E385;E385;34 Avenue des Sources;Écully;06692;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69081;297;4,783343166907025;45,79204594446419
E801;E801;170 Cours Rouget de Lisle;Rillieux-la-Pape;37215;;V101.0.OM;Col Nord-Ouest;COL GUERIN;2023-10-03;2023-11-02;2023-11-02;;69286;4878;4,907239994362837;45,81484646150454
E359;E359;22 Avenue des Sources;Écully;06692;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2022-10-28;;69081;318;4,785424684820217;45,78908175774725
